index,座落,棟及號,建案名稱,總價,交易日期,單價,總面積,主建物占比,型態,樓別/棟高,交易標的,建物格局,車位總價,主要用途,主要建材,解約情形,交易明細,功能,備註,
502,北投區文林北路131號,A1號,家居安曼,6770,113/06/07,112.5,67.93,60.71,bt05,14/25,1-1-1土1建1車1,3房2廳2衛,330,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
503,北投區洲美里福善路,B棟5號,士科大院.,4413,113/06/07,100.9,49.18,60.76,bt05,5/22,4-1-4土4建1車1,3房2廳2衛,290,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
504,中山區民生東路一段18號,B棟B5-11F號,昀集柏寓,2818,113/06/07,131.7,21.4,59.39,bt05,11/15,7-1-7土7建1車0,2房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
505,大安區臥龍街,B3棟2號,大安富御,5024,113/06/06,90.2,65.64,49.98,bt05,2/13,14-1-14土14建1車1,3房2廳2衛,330,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
506,大安區正聲里光復南路260巷、280巷,A1-21F號,鑄慕,10150,113/06/06,195.7,63.57,61.82,bt05,21/24,16-1-16土16建1車2,3房1廳2衛,1000,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
507,士林區福港街208號,B-10F號,圓山富璟,5630,113/06/06,93.7,64.08,56.5,bt05,10/23,4-1-4土4建1車1,3房2廳2衛,350,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
508,中山區南京東路三段89巷4弄,A2-4F號,新潤朗格,6920,113/06/06,137.8,56.21,58.26,bt05,4/14,3-1-3土3建1車1,,350,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,雨遮不計價親友、員工、共有人或其他特殊關係間之交易,毛胚屋
509,士林區福志里中山北路五段698巷,A1-7F號,中山北美,4450,113/06/06,117.2,44.14,58.1,bt06,7/10,5-1-5土5建1車1,3房2廳2衛,320,住家用,RC造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
510,南港區三重里南港路一段20之1號,A棟A2-12F號,國協天玥,4634,113/06/06,119.1,46.26,60.47,bt05,12/18,41-1-41土41建1車1,3房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
511,南港區三重里南港路一段20之1號,A棟A1-12F號,國協天玥,3671,113/06/06,119.6,38.05,60.68,bt05,12/18,41-1-41土41建1車1,2房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
512,中山區中山北路二段27巷22號,A2-12F號,森仰,19473,113/06/06,157,136.48,60.29,bt05,12/24,10-1-10土10建1車2,,1050,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
513,中山區集英里錦西街4之1號,A1-4F號,恆合中山,3205,113/06/06,111.9,28.63,58.54,bt05,4/15,4-1-4土4建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
514,信義區基隆路一段,A棟1號,吉祥．如藝,5475,113/06/06,132.2,52.48,59.52,bt05,12/23,10-1-10土10建1車2,3房2廳2衛,770,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
515,信義區基隆路一段,A棟7號,吉祥．如藝,5247,113/06/06,133.2,39.39,59.1,bt05,12/23,10-1-10土10建1車0,3房2廳2衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
516,信義區基隆路一段,A棟7號,吉祥．如藝,5969,113/06/06,141,47.83,59.1,bt05,23/23,10-1-10土10建1車1,3房2廳2衛,415,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
517,大安區樂業街94巷,A棟A1-14F號,全坤御峰,5366,113/06/06,130.5,56.06,60.35,bt05,14/17,28-1-28土28建1車2,3房2廳2衛,660,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
518,大安區樂業街94巷,A棟A2-14F號,全坤御峰,3590,113/06/06,133.5,34.34,60.53,bt05,14/17,28-1-28土28建1車1,3房2廳1衛,340,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
519,中正區衡陽路102號,A11-10F號,全坤衡峰,3630,113/06/06,126.9,30.64,60.77,bt05,10/22,7-1-7土7建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
520,中正區衡陽路102號,A10-3F號,全坤衡峰,2480,113/06/06,120.6,20.56,59.06,bt05,3/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
521,中正區衡陽路102號,A11-3F號,全坤衡峰,3440,113/06/06,119.8,30.64,60.77,bt05,3/22,7-1-7土7建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
522,大同區承德路二段,E-11F號,宏國大道城B棟,11145,113/06/06,116.6,97.7,57.37,bt05,11/26,2-1-2土2建1車1,3房2廳3衛,340,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
523,內湖區康樂街136巷18弄12號,A6-15號,家騰真,3036,113/06/06,81.3,44.5,54.47,bt05,15/15,1-1-1土1建1車1,2房1廳2衛,260,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,雨遮計坪不計價,
524,士林區美崙街11號,A2號,文林君閱,3790,113/06/06,102.6,43.95,57.94,bt05,5/14,14-1-14土14建1車1,3房2廳2衛,310,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
525,中山區民生東路一段18號,A棟A6-13F號,昀集柏寓,1850,113/06/06,123,15.04,56.51,bt05,13/15,7-1-7土7建1車0,2房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
526,中山區民生東路一段18號,A棟A2-4F號,昀集柏寓,2673.2,113/06/06,111,30.94,60.38,bt05,4/15,7-1-7土7建1車1,2房1廳2衛,280,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
527,中山區民生東路一段18號,A棟A1-3F號,昀集柏寓,2156,113/06/06,110,19.6,59.25,bt05,3/15,7-1-7土7建1車0,2房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
528,南港區東新里興南街,A棟A8-06F號,擎天森林,2706,113/06/05,90.7,34.18,56.94,bt05,6/26,1-1-1土1建1車1,2房2廳2衛,250,住家用,鋼骨混凝土造,,明細加入比較,  Line 建坪單價計算,預售屋雨遮計坪不計價親友、員工、共有人或其他特殊關係間之交易,
529,大安區瑞安街155巷,A-10F號,ForestPark吉美富徠,12800,113/06/05,163.9,96.02,57.7,bt05,10/21,1-1-1土1建1車2,,700,住家用,鋼骨鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
530,松山區八德路四段５９９號,C-12F號,松捷樂,2640,113/06/05,106.2,26.12,,btZ,12/13,5-1-5土5建1車1,,222,住家用,鋼筋混凝土造,,明細加入比較,  Line,,
531,大安區安東街35巷,J號,親家JIA,3647,113/06/05,152.6,28.86,52.26,bt05,6/13,12-1-12土12建1車1,2房1廳1衛,380,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
532,北投區文林北路與文承路交叉口,A1-25號,華固上文林,7974,113/06/05,126.7,75.43,59.56,bt05,25/25,3-1-3土3建1車2,3房2廳3衛,620,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
533,大安區民輝里忠孝東路三段40號,A3-5F號,永陞韶華-華年(工研館),5185,113/06/05,189.5,27.36,58.93,bt05,5/15,3-1-3土3建1車0,2房2廳1衛,,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
534,大安區民輝里忠孝東路三段40號,A2-15F號,永陞韶華-華年(工研館),8180,113/06/05,182.5,49.42,61.51,bt05,15/15,3-1-3土3建1車1,3房2廳2衛,420,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
535,北投區光明路,E棟13F號,嘉磐日光,5697,113/06/05,95,65.97,60.94,bt05,13/20,17-1-17土17建1車1,4房2廳3衛,295,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
536,中正區和平西路二段135號,12F-E號,恆悅植心苑,4355,113/06/05,121.4,42.99,55.42,bt05,12/14,9-1-9土9建1車1,3房2廳2衛,380,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
537,中山區新福里吉林路329巷15號,B棟B7-11F號,鄉林中山賦,6925,113/06/05,140,56.36,55.43,bt05,11/15,39-1-39土39建1車1,3房2廳2衛,365,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,"本戶雨遮2.21坪,雨遮不計價",
538,北投區雙全街8號,A7號,品嘉-箴品序,1480,113/06/05,81.6,18.14,56.11,bt05,10/22,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
539,南港區三重里南港路一段20之1號,B棟B5-06F號,國協天玥,2956,113/06/05,128.3,23.04,60.58,bt05,6/15,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
540,南港區三重里南港路一段20之1號,A棟A3-17F號,國協天玥,3475,113/06/05,138.4,32.89,60.82,bt05,17/18,41-1-41土41建1車1,2房2廳1衛,300,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
541,南港區三重里南港路一段20之1號,A棟A3-12F號,國協天玥,3413,113/06/05,133.9,32.89,60.82,bt05,12/18,41-1-41土41建1車1,2房2廳1衛,340,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
542,中山區長春路285號,A3-4F號,恆合鈺璽,3560,113/06/05,126.2,28.21,56.8,bt05,4/15,20-1-20土20建1車0,3房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
543,信義區基隆路一段,A棟6號,吉祥．如藝,4279,113/06/05,141,30.35,59.47,bt05,22/23,10-1-10土10建1車0,2房2廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
544,大安區古風里泰順街62巷(與辛亥路一段77巷巷口),A棟A3-12F號,文与堂,7650,113/06/05,156.8,58.67,60.93,bt05,12/21,27-1-27土27建1車1,3房2廳2衛,370,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
545,中正區衡陽路102號,A11-9F號,全坤衡峰,3597,113/06/05,125.6,30.64,60.77,bt05,9/22,7-1-7土7建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
546,大同區鄰江里延平北路四段17號,B號,永豐泰雲川,2310,113/06/05,87.4,31.66,57.08,bt05,7/11,1-1-1土1建1車1,2房2廳1衛,190,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
547,中山區民生東路二段及新生北路二段,C-4F號,佳元當代美術館,3300,113/06/05,132.3,24.95,60.52,bt05,4/15,7-1-7土7建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
548,中山區民生東路一段18號,B棟B2-12F號,昀集柏寓,1860,113/06/05,131.9,14.1,54.27,bt05,12/15,7-1-7土7建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
549,中山區民生東路一段18號,B棟B2-13F號,昀集柏寓,1862,113/06/05,132,14.1,54.27,bt05,13/15,7-1-7土7建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
550,中山區民生東路一段18號,B棟B3-12F號,昀集柏寓,1852,113/06/05,130.9,14.15,54.18,bt05,12/15,7-1-7土7建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
551,中山區民生東路一段18號,B棟B3-13F號,昀集柏寓,1868,113/06/05,132,14.15,54.18,bt05,13/15,7-1-7土7建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
552,中山區民生東路一段18號,A棟A3-14F號,昀集柏寓,2054,113/06/05,132,15.56,53.41,bt05,14/15,7-1-7土7建1車0,2房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
553,中山區民生東路一段18號,A棟A3-15F號,昀集柏寓,2324,113/06/05,132,24.94,53.41,bt05,15/15,7-1-7土7建1車1,2房1廳1衛,270,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
554,中山區遼寧街105巷36號,A-7F號,TWINLINE,1539,113/06/04,145,10.61,56.06,bt06,7/9,3-1-3土3建1車0,1房1衛,,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
555,中山區正守里市民大道三段5號,A6-6F號,上城若水,1780,113/06/04,127.3,16.45,57.85,bt05,6/15,6-1-6土6建1車1,1房1廳1衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
556,士林區福志里中山北路五段686號,A1-14F號,碩樺Artist,7885,113/06/04,120.8,81.74,60.57,bt05,14/15,17-1-17土17建1車2,4房2廳3衛,660,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
557,大安區正聲里光復南路260巷、280巷,A7-22F號,鑄慕,10198,113/06/04,203.8,61.95,62.09,bt05,22/24,16-1-16土16建1車2,3房1廳2衛,1000,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
558,大安區四維路216巷,B-2F號,品嘉敦品藏,4446,113/06/04,140,37.93,59.82,bt05,2/13,1-1-1土1建1車1,2房2廳2衛,300,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
559,南港區聯成里東新街77巷15弄1號2樓,A棟2-03F號,沐松琚,3551,113/06/04,121.7,37.72,60.26,bt05,3/15,12-1-12土12建1車1,2房2廳2衛,330,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
