,建案名稱,地址
297,基泰大直 資,臺北市中山區大直街94巷及94巷3弄轉角處號
298,基泰建中,臺北市萬華區莒光路260號
299,基泰碧湖,臺北市內湖區內湖路一段號
300,基泰碧湖 資,臺北市內湖區內湖路一段號
301,基泰磺溪,臺北市北投區文林北路16巷號
302,墨花香,臺北市大安區羅斯福路二段111號
303,士林一品,臺北市士林區大南路號
304,士林竣 資,臺北市士林區中正路247巷號
305,士科京璽,臺北市士林區重慶北路四段222號
306,士科大院. 資,臺北市北投區洲美里福善路號
307,士科潤山 資,臺北市北投區建民里承德路六段號
308,夏沐時,臺北市北投區立農里立農街一段257巷7弄8號
309,夏沐時 資,臺北市北投區立農里立農街一段257巷7弄8號
310,大?,臺北市中山區民生東路二段號
311,大安MONEY 璞寓,臺北市大安區羅斯福路三段 F棟15樓號
312,大安MONEY 賦寓,臺北市大安區羅斯福路三段 A棟14樓號
313,大安信藝館,臺北市大安區文昌街號
314,大安富中,臺北市大安區信義路三段147巷11弄B戶4樓號
315,大安富御 資,臺北市大安區臥龍街號
316,大安富筑,臺北市大安區通化街38巷號
317,大安得逸 資,臺北市大安區羅斯福路三段283巷21弄7號
318,大安文樺,臺北市大安區樂業街118巷號
319,大安昕境 資,臺北市大安區辛亥路一段號
320,大安永康,臺北市大安區永康街17巷5號
321,大安潮,臺北市大安區潮州街號
322,大安潮 資,臺北市大安區潮州街號
323,大安謙? 資,臺北市大安區仁慈里大安路一段206巷15號
324,大安釀,臺北市大安區大安段二小段297-0地號
325,大將首驛,臺北市北投區大同街(編號
326,大承,臺北市大同區永樂里南京西路號
327,大承 資,臺北市大同區永樂里南京西路號
328,大湖朕寶,臺北市內湖區康寧路一段與星雲街口號
329,大理ONE 資,臺北市萬華區糖?里大理街135號
330,大直紅點,臺北市中山區植福路189號
331,天匯 資,臺北市北投區石牌路一段58巷37號
332,天成河悅,臺北市文山區景福街號
333,天母上苑 資,臺北市士林區中山北路七段141巷21號
334,天母常玉 資,臺北市北投區振華里東華街一段號
335,天母桓琚,臺北市士林區天母東路105巷9弄6號
336,天母桓琚 資,臺北市士林區天母東路105巷9弄6號
337,天母鑲玉,臺北市北投區石牌路二段315巷31號
338,天母鑲玉 資,臺北市北投區石牌路二段315巷31號
339,天璽,臺北市中山區德惠街與農安街一巷口(B3-08F)號
340,天綺,臺北市北投區奇岩里公館路376巷6弄4號
341,天綺 資,臺北市北投區奇岩里公館路376巷6弄4號
342,天賞大願,臺北市文山區保儀路號
343,天開圖畫,臺北市南港區東新街170巷C1棟3樓號
344,太子華威,臺北市士林區芝山段一小段572及619地號
345,太平洋敦南麗舍 資,臺北市大安區敦化南路一段177巷號
346,太平洋蒔景,臺北市信義區?和段二小段301地號
347,奇岩綠境 資,臺北市北投區公?路號
348,如意琚,臺北市內湖區康樂街110巷6號
349,威堡今綻,臺北市中山區天祥路      16號
350,安家2MORE,臺北市萬華區大理街號
351,安家湛 資,臺北市文山區秀明路一段7號
352,安家秀 資,臺北市萬華區青山里環河南路二段5巷1號
353,安家藏玉,臺北市中正區幸福里齊東街82巷42號
354,安縵莊園,臺北市內湖區內湖路三段號
355,宏國大道城B棟,臺北市大同區承德路二段號
356,宏國大道城B棟 資,臺北市大同區承德路二段號
357,宏國大道城D棟,臺北市大同區承德路二段91巷號
358,宏國大道城Ｃ棟,臺北市大同區承德路二段109巷號
359,宏廷富山滙,臺北市文山區華興里富山路號
360,宏普國貿2 資,臺北市內湖區湖元里新湖二路146巷號
361,宏普新邑,臺北市北投區三合街B1-9F號
362,宏普鉑金苑,臺北市南港區經貿二路235巷號
363,宏普陽明 資,臺北市北投區建民里文林北路號
364,宏普頤和,臺北市中山區埤頭里八德路二段146巷1弄6號
365,宏泰HOME,臺北市內湖區潭美段五小段59地號
366,宏盛得意山莊,臺北市北投區三合街一段 (C1-5F)號
367,宏盛掬白 資,臺北市內湖區民權東路六段210巷43號
368,宏盛淬白 資,臺北市中山區龍江路429巷號
369,宏盛陽明,臺北市士林區福志路86號
370,宏築信義,臺北市信義區和平東路三段號
371,宏築天? 資,臺北市士林區天玉街44巷號
372,官峰,臺北市士林區福志路120號
373,家居奇玉,臺北市北投區三合街一段82巷62弄22號
374,家居安曼 資,臺北市北投區文林北路131號
375,家居璽玉 資,臺北市北投區文林北路號
376,家騰真,臺北市內湖區康樂街136巷18弄12號
377,家騰真 資,臺北市內湖區康樂街136巷18弄12號
378,富享家,臺北市內湖區葫洲里康寧路三段號
379,富享榮華,臺北市中正區新營里金華街號
380,富享榮華 資,臺北市中正區新營里金華街號
381,富域 資,臺北市北投區清江里中央南路一段81號
382,富裔CORNER,臺北市大安區大安路一段206巷16號
383,大安Corner,臺北市大安區信義路四段53巷30號
384,富貴莊園,臺北市內湖區康樂街136巷30弄11號
385,富邦藝庭 資,臺北市大安區義村里仁愛路三段143巷號
386,富邦藝樹 資,臺北市大安區建安里敦化南路一段161巷口號
387,富邦醴仁,臺北市中正區金山南路一段53巷1號
388,寶舖care,臺北市中正區羅斯福路三段212號
389,寶舖care 資,臺北市中正區羅斯福路3段212號
390,寶舖２１２,臺北市中正區羅斯福路三段210巷旁A棟2樓號
391,寶舖ＣＡＲＥ,臺北市中正區羅斯福路三段212號
392,將作城心,臺北市中正區南昌路二段91號
393,將捷心裡?,臺北市中山區雙城街13巷A棟7樓號
394,將捷行書 資,臺北市松山區三民路38號
395,小時代,臺北市萬華區開封街二段69號
396,尚青苑,臺北市文山區木柵路一段238巷2弄旁B棟號
397,展宜常閑 資,臺北市士林區蘭興里磺溪街88巷9號
398,展宜詠?,臺北市信義區永吉路278巷號
399,山丘小墅,臺北市內湖區環山路二段甲棟5樓B5戶號
400,山森原,臺北市南港區三重路41巷A5棟2樓號
401,山沺藏,臺北市內湖區民權東路六段289巷 (石潭段四小段224地號
402,山釀 資,臺北市內湖區環山路二段50巷14弄5號
403,山隱曼曼 資,臺北市士林區中正路213巷號
404,岳榕莊,臺北市北投區八仙里中央南路二段23號
405,岳泰峰? 資,臺北市文山區新光路一段66巷號
406,岳泰峰山 資,臺北市內湖區康寧路一段156巷21號
407,岳泰峰華 資,臺北市文山區景文街48號
408,岳泰明德 資,臺北市北投區懷德街66巷21號
409,岳泰豐鼎,臺北市萬華區漢口街二段88號
410,峰源 資,臺北市大同區大有里環河北路一段號
411,峰雅,臺北市士林區中山北路7段114巷號
412,崇偉南京Ｓ2,臺北市內湖區新明路428巷2號
413,嶺藏,臺北市中正區牯嶺街95巷68號
414,希伯崙山莊,臺北市文山區福興路106巷號
415,帝璽,臺北市中山區建國北路二段號
416,師大浦玉 資,臺北市大安區浦城街15、19號
417,師大芯,臺北市大安區羅斯福路二段117巷5號
418,常殷峰澤,臺北市大同區永樂里延平北路一段108號
419,常殷泊美,臺北市北投區三合街一段82巷73號
420,幸福一町目,臺北市士林區士林區社正路45巷4弄號
421,幸褔安家,臺北市萬華區孝德里德昌街號
422,幸褔安家 資,臺北市萬華區孝德里德昌街號
423,序東騰 資,臺北市中山區興亞里吉林路14巷號
424,康HOME 資,臺北市萬華區永福街102號
425,康寶日出印象 資,臺北市北投區關渡里大度路三段301巷號
426,廣宇日和 資,臺北市大同區承德路二段100號
427,廣宇江南 資,臺北市內湖區江南街71巷16弄5之1號
428,廣宇萬和,臺北市大同區民族西路326號
429,御品園 資,臺北市大同區延平北路三段號
430,御品行館,臺北市北投區光明路209號
431,御揚比漾,臺北市中山區北安段一小段116-117地號
432,御水苑,臺北市士林區天母西路50巷24號
433,御織間,臺北市南港區東明街41號
434,德孚昀品 資,臺北市內湖區文德路22巷44弄130號
435,德悅悅,臺北市士林區文林路號
436,德杰羽森-玥,臺北市南港區興南街98號
437,德杰羽森-琚,臺北市南港區東明街123巷旁號
438,德杰羽森-璽,臺北市南港區興南街150號
439,德林哲里 資,臺北市士林區永平街80巷號
440,德璞永樂,臺北市大同區永樂里南京西路號
441,德謙驛,臺北市萬華區艋舺大道100號
442,德運京鼎,臺北市中山區南京東路二段23號
443,德運官鼎,臺北市中山區民生東路二段3號
444,德運永康,臺北市大安區信義路二段號
445,心仝聚,臺北市北投區建民里文林北路75巷號
446,心仝聚 資,臺北市北投區建民里文林北路75巷號
447,忠孝復興.BR4,臺北市大安區仁愛里復興南路一段167巷號
448,忠孝詠吉,臺北市南港區永吉路號
449,忠泰世界廣場,臺北市中山區敬業二路號
450,忠泰值,臺北市中正區忠孝東路一段84巷2號
451,忠泰同,臺北市大同區重慶北路三段40號
452,忠泰旭美,臺北市中山區中山北路二段93巷號
453,忠泰湛 資,臺北市文山區木新里開元街47號
454,忠泰繪,臺北市中山區德惠街號
455,忠泰衍見築,臺北市松山區敦化北路120巷號
456,忠順大院Ⅱ,臺北市文山區忠順街二段85巷旁(A5-3F)號
457,恆合中山 資,臺北市中山區集英里錦西街4之1號
458,恆合江山,臺北市北投區承德路七段號
459,恆合芝山 資,臺北市士林區文林路號
460,恆合鈺璽 資,臺北市中山區長春路285號
461,恆岳尚美 資,臺北市松山區復興北路81巷18號
462,恆悅植心苑 資,臺北市中正區和平西路二段135號
463,恆隆聚 資,臺北市萬華區和平西路三段274號
464,悅成功,臺北市內湖區成功路二段450號
465,拾秋,臺北市大安區浦城街4巷號
466,捷運晶鑽 資,"臺北市北投區民權街8,10號"
467,揚昇君悅 資,臺北市松山區復興南路一段25巷1弄1號
468,揚昇君苑,臺北市松山區松河街168號
469,揚昇君隆 資,臺北市松山區南京東路五段23巷及23巷7弄、9弄口號
470,揚昇松江苑,臺北市中山區長安段三小段476.483-1地號
471,揚昇松韻,臺北市中山區吉林里松江路204巷號
472,擎天森林,臺北市南港區東新里興南街號
473,政大爵鼎NO.1,臺北市文山區指南路三段77巷號
474,政大爵鼎NO.2,臺北市文山區指南路三段77巷號
475,政大豐匯,臺北市文山區指南路2段221號
